cwe_id,cwe_example_1,cwe_example_2,cwe_example_3,cwe_example_4,cwe_example_5,cwe_example_6,cwe_example_7
CWE-763,"char **ap, *argv[10], *inputstring;
for (ap = argv; (*ap = strsep(&inputstring, "" \t"")) != NULL;)
    if (**ap != '\0')
        if (++ap >= &argv[10])
            break;

/.../
+ // Corrected release of memory
+ free(inputstring);
- // Incorrect release of memory
- free(ap[4]);","void foo(){
    BarObj *ptr = new BarObj();
    /* do some work with ptr here */

    // ...

+   delete ptr;
-   free(ptr);
}","#define SUCCESS (1)
#define FAILURE (0)

int contains_char(char c) {
-    char *str;
+    const char *str;
    int i = 0;
-    str = (char*)malloc(20*sizeof(char));
+    str = ""Search Me!"";
    while (str[i] != '\0') {
        if (str[i] == c) {
            /* matched char, return success */
-            free(str);
            return SUCCESS;
        }
        /* didn't match yet, increment index and try next char */
        i = i + 1;
    }
    /* we did not match the char in the string, return failure */
-    free(str);
    return FAILURE;
}","//hardcode input length for simplicity
char* input = (char*) malloc(40*sizeof(char));
char *tok, *command;
char* sep = "" \t"";

get_user_input( input );

/* The following loop will parse and process each token in the input string */

tok = strtok( input, sep);
while( NULL != tok ){
-    if( isMalformed( tok ) ){

-        /* ignore and discard bad data */
-        free( tok );
-    }
-    else{
+    if( !isMalformed( tok ) ){

+        /* copy and enqueue good data */
+        command = (char*) malloc( (strlen(tok) + 1) * sizeof(char) );
+        strcpy( command, tok );
+        add_to_command_queue( command );
     }
-    tok = strtok( NULL, sep));
+    tok = strtok( NULL, sep);
 }

+free( input );",,,
CWE-732,"#define OUTFILE ""hello.out""

- umask(0);
+ umask(S_IRUSR | S_IWUSR);  // Set the umask to allow read and write only for the owner

FILE *out;
/* Ignore link following (CWE-59) for brevity */

out = fopen(OUTFILE, ""w"");
if (out) {
  fprintf(out, ""hello world!\n"");
  fclose(out);
}",,,,,,
CWE-665,"char str[20];

+ str[0] = '\0';  // Initialize str to an empty string before concatenation
strcat(str, ""hello world"");
printf(""%s"", str);",,,,,,
CWE-354,"(sd = socket(AF_INET, SOCK_DGRAM, 0);
 serv.sin_family = AF_INET;
 serv.sin_addr.s_addr = htonl(INADDR_ANY);
 serv.sin_port = htons(1008);
 bind(sd, (struct sockaddr *) & serv, sizeof(serv));

 while (1) {
+    unsigned char received_checksum;
+    unsigned char calculated_checksum = 0;
     memset(msg, 0x0, MAX_MSG);
     clilen = sizeof(cli);
-    if (inet_ntoa(cli.sin_addr)==...)
-        n = recvfrom(sd, msg, MAX_MSG, 0, (struct sockaddr *) & cli, &clilen);
+    if (inet_ntoa(cli.sin_addr) == ...) {
+        n = recvfrom(sd, msg, MAX_MSG, 0, (struct sockaddr *) & cli, &clilen);
+        
+        // Calculate checksum
+        for (int i = 0; i < n; i++) {
+            calculated_checksum ^= msg[i];
+        }
+        
+        // Retrieve the received checksum from the message (assuming it's at a known position)
+        received_checksum = msg[...];
+        
+        // Compare the calculated checksum with the received checksum
+        if (calculated_checksum == received_checksum) {
+            // Proceed with processing the message
+            // ...
+        } else {
+            // Handle integrity check failure
+            // ...
+        }
+    }
 }",,,,,,
CWE-667,"- void f(pthread_mutex_t *mutex) {
+ int f(pthread_mutex_t *mutex) {
+     int result;
-     pthread_mutex_lock(mutex);
+     result = pthread_mutex_lock(mutex);
- 
-     /* access shared resource */
- 
- 
-     pthread_mutex_unlock(mutex);
+     if (0 != result)
+         return result;
+
+     /* access shared resource */
+
+     result = pthread_mutex_unlock(mutex);
+     return result;
}",,,,,,
CWE-129,"int getValueFromArray(int *array, int len, int index) {
    int value;

-   // check that the array index is less than the maximum
+   // check that the array index is within the correct range

-   // length of the array
-   if (index < len) {
+   if (index >= 0 && index < len) {
        // get the value at the specified index of the array
        value = array[index];
    }
    // if array index is invalid then output error message
    // and return value indicating error
    else {
        printf(""Value is: %d\n"", array[index]);
        value = -1;
    }

    return value;
}
","/* capture the sizes of all messages */
int getsizes(int sock, int count, int *sizes) {
    ...
    char buf[BUFFER_SIZE];
    int ok;
    int num, size;

    // read values from socket and add them to the sizes array
    while ((ok = gen_recv(sock, buf, sizeof(buf))) == 0) {
        // continue reading from socket until buf only contains '.'
        if (DOTLINE(buf))
            break;
        else if (sscanf(buf, ""%d %d"", &num, &size) == 2) {
+           if (num > 0 && num <= (unsigned)count)
+               sizes[num - 1] = size;
+           else {
+               /* warn about possible attempt to induce buffer overflow */
+               report(stderr, ""Warning: ignoring bogus data for message sizes returned by server.\n"");
+           }
        }
    }
    ...
}","int main(int argc, char **argv) {
    char *items[] = {""boat"", ""car"", ""truck"", ""train""};
    int offset = GetUntrustedOffset();
+   int index = offset - 1;

+   if (index >= 0 && index < sizeof(items) / sizeof(items[0])) {
        printf(""You selected %s\n"", items[index]);
+   } else {
+       printf(""Invalid offset\n"");
+   }
}
",,,,
CWE-79,"$username = $_GET['username'];
- echo '<div class=""header""> Welcome, ' . $username . '</div>';
+ echo '<div class=""header""> Welcome, ' . htmlspecialchars($username, ENT_QUOTES, 'UTF-8') . '</div>';",,,,,,
CWE-89,"...
string userName = ctx.getAuthenticatedUserName();
- string query = ""SELECT * FROM items WHERE owner = '"" + userName + ""' AND itemname = '"" + ItemName.Text + ""'"";
+ string query = ""SELECT * FROM items WHERE owner = @userName AND itemname = @itemName"";
SqlCommand command = new SqlCommand(query, conn);
+ command.Parameters.AddWithValue(""@userName"", userName);
+ command.Parameters.AddWithValue(""@itemName"", ItemName.Text);
sda = new SqlDataAdapter(command);
DataTable dt = new DataTable();
sda.Fill(dt);
...
",,,,,,
CWE-522,"...
Properties prop = new Properties();
prop.load(new FileInputStream(""config.properties""));
- String password = prop.getProperty(""password"");
+ String password = getPasswordFromSecureSource(); // Replace with a secure method to retrieve the password
DriverManager.getConnection(url, usr, password);
...","...
+ // Use a secure method to retrieve the password from a secure source
+ String password = getPasswordFromSecureSource();
NetworkCredential netCred = new NetworkCredential(username, password, domain);
...",,,,,
CWE-863,"$role = $_COOKIES['role'];
if (!$role) {
- $role = getRole('user');
- if ($role) {
-   // save the cookie to send out in future responses
-   setcookie(""role"", $role, time()+60*60*2);
- }
- else {
-   ShowLoginScreen();
-   die(""\n"");
- }
+ ShowLoginScreen();
+ die(""\n"");
}
if ($role == 'Reader') {
  DisplayMedicalHistory($_POST['patient_ID']);
}
else {
  die(""You are not Authorized to view this record\n"");
}
",,,,,,
CWE-770,"sock=socket(AF_INET, SOCK_STREAM, 0);
+ int connectionCount = 0;
while (1) {
  newsock=accept(sock, ...);
  printf(""A connection has been accepted\n"");
+ if (connectionCount >= MAX_CONNECTIONS) {
+   // Handle connection limit exceeded error
+   printf(""Connection limit exceeded. Please try again later.\n"");
+   close(newsock);
+   continue;
+ }
  pid = fork();
+ if (pid == 0) {
+   // Child process
+   close(sock);
+   handleConnection(newsock);
+   exit(0);
+ } else if (pid > 0) {
+   // Parent process
+   close(newsock);
+   connectionCount++;
+ } else {
+   // Handle fork error
+   printf(""Fork failed. Please try again later.\n"");
+   close(newsock);
+ }
}
","int writeDataFromSocketToFile(char *host, int port)
{
+ const int MAX_FILE_SIZE = 1048576;  // Maximum allowed file size (1MB)

  char filename[FILENAME_SIZE];
  char buffer[BUFFER_SIZE];
  int socket = openSocketConnection(host, port);
","int processMessage(char **message)
{
+ const unsigned int MAX_LENGTH = 10000;  // Maximum allowed length of the message body

- int length = getMessageLength(message[0]);
+ unsigned int length = getMessageLength(message[0]);

- if (length > 0) {
+ if (length > 0 && length < MAX_LENGTH) {

  char *body = &message[1][0];
  processMessageBody(body);
  return(SUCCESS);
}
else {
  printf(""Unable to process message; invalid message length"");
  return(FAIL);
}","bar connection() {
- foo = malloc(1024);
+ foo = malloc(sizeof(*foo));
return foo;
}

endConnection(bar foo) {
free(foo);
}

int main() {
while(1) {
foo=connection();
}

endConnection(foo)
}
",,,
CWE-191,"#include <stdio.h>
#include <stdbool.h>

int main(void) {
- int i;
+ unsigned int i;  // Use unsigned int to prevent integer underflow

- i = -2147483648;
+ i = 0x80000000;  // Use hexadecimal representation for lowest negative value
i = i - 1;

return 0;
}","#include <stdio.h>
#include <stdbool.h>

int main(void) {
  int a = 5, b = 6;
- size_t len = a - b;
+ size_t len = (a >= b) ? (a - b) : 0;  // Check for non-negative result before assigning

- char buf[len];  // Vulnerable stack allocation
+ if (len > 0) {
+   char buf[len];  // Allocate on the stack only if len is non-zero
+ } else {
+   // Handle error or alternative code path when len is zero
+ }

  return 0;
}",,,,,
CWE-754,"#include <stdio.h>
#include <string.h>

int main(void) {
  char buf[10], cp_buf[10];
  fgets(buf, 10, stdin);
- strcpy(cp_buf, buf);  // Vulnerable strcpy call

+ size_t buf_len = strlen(buf);
+ if (buf_len > 0 && buf[buf_len - 1] == '\n') {
+   buf[buf_len - 1] = '\0';  // Ensure buf is null-terminated if newline is present
+ } else {
+   // Handle error or alternative code path when newline is not present
+ }

+ strncpy(cp_buf, buf, sizeof(cp_buf) - 1);
+ cp_buf[sizeof(cp_buf) - 1] = '\0';  // Ensure cp_buf is null-terminated

  return 0;
}
","#include <stdio.h>
#include <stdlib.h>
#include <string.h>

int main(void) {
- char* buf;
+ char* buf = NULL;
  size_t req_size = /* size calculation */;

- buf = (char*) malloc(req_size);
- strncpy(buf, xfer, req_size);

+ if (req_size > 0) {
+   buf = (char*) malloc(req_size);
+   if (buf != NULL) {
+     strncpy(buf, xfer, req_size);
+   } else {
+     // Handle memory allocation failure
+     fprintf(stderr, ""Failed to allocate memory\n"");
+     exit(EXIT_FAILURE);
+   }
+ }

  return 0;
}
","#include <stdio.h>
#include <stdlib.h>
#include <string.h>
#include <netdb.h>
#include <arpa/inet.h>

void host_lookup(char *user_supplied_addr) {
  struct hostent *hp;
  in_addr_t *addr;
  char hostname[64];

  /* Routine that ensures user_supplied_addr is in the right format for conversion */
  validate_addr_form(user_supplied_addr);

  addr = inet_addr(user_supplied_addr);
  hp = gethostbyaddr(addr, sizeof(struct in_addr), AF_INET);

- strcpy(hostname, hp->h_name);
+ if (hp != NULL) {
+   strncpy(hostname, hp->h_name, sizeof(hostname) - 1);
+   hostname[sizeof(hostname) - 1] = '\0';
+ } else {
+   // Handle hostname resolution failure
+   fprintf(stderr, ""Failed to resolve hostname\n"");
+   exit(EXIT_FAILURE);
+ }
}

int main(void) {
  char user_input[16];

  printf(""Enter an IP address: "");
  fgets(user_input, sizeof(user_input), stdin);
  user_input[str","#include <stdio.h>

int outputStringToFile(char *output, char *filename) {
- openFileToWrite(filename);
- writeToFile(output);
- closeFile(filename);
+ int isOutput = SUCCESS;

+ int isOpen = openFileToWrite(filename);
+ if (isOpen == FAIL) {
+   printf(""Unable to open file %s"", filename);
+   isOutput = FAIL;
+ } else {
+   int isWrite = writeToFile(output);
+   if (isWrite == FAIL) {
+     printf(""Unable to write to file %s"", filename);
+     isOutput = FAIL;
+   }

+   int isClose = closeFile(filename);
+   if (isClose == FAIL) {
+     isOutput = FAIL;
+   }
+ }

+ return isOutput;
}
",,,
CWE-862,"function runEmployeeQuery($dbName, $name){
+   // Check authorization here before executing the query
+   if (!isAuthorized()) {
+       die(""Unauthorized access"");
+   }

    mysql_select_db($dbName,$globalDbHandle) or die(""Could not open Database"".$dbName);
    // Use a prepared statement to avoid CWE-89
    $preparedStatement = $globalDbHandle->prepare('SELECT * FROM employees WHERE name = :name');
    $preparedStatement->execute(array(':name' => $name));
    return $preparedStatement->fetchAll();
}
",,,,,,
CWE-347,"File f = new File(downloadedFilePath);
-JarFile jf = new JarFile(f);
+JarFile jf = new JarFile(f, true);",,,,,,
CWE-273,"bool DoSecureStuff(HANDLE hPipe) {
  bool fDataWritten = false;
- ImpersonateNamedPipeClient(hPipe);
+ if (ImpersonateNamedPipeClient(hPipe)) {
+   HANDLE hFile = CreateFile(...);
+   // ...
+   RevertToSelf();
+   // ...
+ }
  // ...
}
",,,,,,
CWE-426,"#define DIR ""/restricted/directory""
#define PATH ""/bin:/usr/bin""  // Define a trusted PATH

char cmd[500];
sprintf(cmd, ""ls -l %480s"", DIR);

/* Raise privileges to those needed for accessing DIR. */
RaisePrivileges(...);

+ char trustedPath[100];
+ sprintf(trustedPath, ""PATH=%s"", PATH);
+ putenv(trustedPath);
 
system(cmd);

DropPrivileges(...);
...
",,,,,,
CWE-601,"$redirect_url = $_GET['url'];

- header(""Location: "" . $redirect_url);
+ 
+ // Check if the redirect URL is a trusted site
+ $trusted_sites = array(
+     'http://example.com',
+     'http://trusted.example.com',
+     // Add more trusted sites if needed
+ );
+ 
+ $is_trusted = false;
+ foreach ($trusted_sites as $site) {
+     if (strpos($redirect_url, $site) === 0) {
+         $is_trusted = true;
+         break;
+     }
+ }
+ 
+ if ($is_trusted) {
+     header(""Location: "" . $redirect_url);
+ } else {
+     // Handle the case when the redirect URL is not trusted
+     // For example, display an error message or redirect to a default page
+     header(""Location: http://example.com/default-page.php"");
+ }",,,,,,
CWE-682,"img_t table_ptr; /*struct containing img data, 10kB each*/
int num_imgs;
...
num_imgs = get_num_imgs();

+ if (num_imgs <= 0) {
+     // Handle the case when the number of images is not valid
+     // For example, display an error message or set a default value
+     num_imgs = 0; // Set a default value of 0
+ }

- table_ptr = (img_t*)malloc(sizeof(img_t)*num_imgs);
+ if (num_imgs > 0) {
+     table_ptr = (img_t*)malloc(sizeof(img_t)*num_imgs);
+ } else {
+     table_ptr = NULL; // Set the pointer to NULL if num_imgs is 0 or negative
+ }
...","int *p = x;
- char *second_char = (char *)(p + 1);
+ char *second_char = (char *)((char *)p + 1);
",,,,,
CWE-90,"context = new InitialDirContext(env);
- String searchFilter = ""StreetAddress="" + address;
+ String searchFilter = ""(&(objectClass=*)(StreetAddress="" + escapeLDAPFilter(address) + ""))"";
NamingEnumeration answer = context.search(searchBase, searchFilter, searchCtls);",,,,,,
CWE-94,"$MessageFile = ""messages.out"";
if ($_GET[""action""] == ""NewMessage"") {
  $name = $_GET[""name""];
  $message = $_GET[""message""];
- $handle = fopen($MessageFile, ""a+"");
+ $handle = fopen($MessageFile, ""a"") or die(""Unable to open file"");
  fwrite($handle, ""<b>"" . htmlspecialchars($name) . ""</b> says '"" . htmlspecialchars($message) . ""'<hr>\n"");
  fclose($handle);
  echo ""Message Saved!<p>\n"";
}
else if ($_GET[""action""] == ""ViewMessages"") {
- include($MessageFile);
+ echo file_get_contents($MessageFile);
}",,,,,,
CWE-327,"-EVP_des_ecb();
+EVP_aes_256_cbc();
",,,,,,
CWE-532,"-logger.info(""Username: "" + username + "", CCN: "" + ccn);
+logger.info(""User logged in: "" + username);
","- Log.e(""ExampleActivity"", ""Caught exception: "" + e + "" While on User:"" + User.toString());
+ Log.e(""ExampleActivity"", ""Caught exception: "" + e + "" While on User:"" + User.getId());",,,,,
CWE-319,"- URL u = new URL(""http://www.secret.example.org/"");
+ URL u = new URL(""https://www.secret.example.org/"");

- HttpURLConnection hu = (HttpURLConnection) u.openConnection();
+ HttpURLConnection hu = (HttpURLConnection) u.openConnection();
+ hu.setRequestProperty(""Connection"", ""close"");

hu.setRequestMethod(""PUT"");
hu.connect();
OutputStream os = hu.getOutputStream();
hu.disconnect();
",,,,,,
CWE-88,"sub do_listing {
  my($fname) = @_;
  if (!validate_name($fname)) {
    print ""Error: name is not well-formed!\n"";
    return;
  }
  # build command
-  my $cmd = ""/bin/ls -l $fname"";
+  my $cmd = ""/bin/ls -l -- $fname"";
  system($cmd);
}

sub validate_name {
  my($name) = @_;
-  if ($name =~ /^[\w\-]+$/) {
+  if ($name =~ /^\w[\w\-]+$/) {
    return 1;
  } else {
    return 0;
  }
}
",,,,,,
CWE-494,"URL[] classURLs = new URL[]{
  new URL(""file:subdir/"")
};

+ MessageDigest md = MessageDigest.getInstance(""SHA-256"");
+ try (InputStream is = new URL(""file:subdir/loadMe.class"").openStream()) {
+     byte[] buffer = new byte[8192];
+     int bytesRead;
+     while ((bytesRead = is.read(buffer)) != -1) {
+         md.update(buffer, 0, bytesRead);
+     }
+ }
+ byte[] checksum = md.digest();
+ String expectedChecksum = ""YOUR_EXPECTED_CHECKSUM""; // Replace with the expected checksum

+ if (!verifyChecksum(expectedChecksum, checksum)) {
+     throw new SecurityException(""Integrity check failed for loaded class"");
+ }

URLClassLoader loader = new URLClassLoader(classURLs);
Class<?> loadedClass = Class.forName(""loadMe"", true, loader);",,,,,,
CWE-346,"IntentFilter filter = new IntentFilter(""com.example.RemoveUser"");
MyReceiver receiver = new MyReceiver();

+ // Check the origin of the intent
+ filter.setPriority(IntentFilter.SYSTEM_HIGH_PRIORITY);
+ filter.addCategory(Intent.CATEGORY_DEFAULT);

registerReceiver(receiver, filter);

public class DeleteReceiver extends BroadcastReceiver {
    @Override
    public void onReceive(Context context, Intent intent) {
        int userID = intent.getIntExtra(""userID"", -1);
        
+       // Check the origin of the intent before performing the operation
+       if (isTrustedSource(intent)) {
+           destroyUserData(userID);
+       } else {
+           // Handle unauthorized intent
+       }
    }
+   
+   private boolean isTrustedSource(Intent intent) {
+       // Implement your logic to check if the intent is from a trusted source
+       // You can compare the intent's package name, signature, or use an allowlist
+       // Return true if the source is trusted, false otherwise
+   }
}
",,,,,,
CWE-681,"unsigned int readdata() {
    int amount = 0;
    // ...
    if (result == ERROR)
        amount = -1;
    // ...

+   if (amount < 0) {
+       // Handle the error condition appropriately
+       // For example, return an error code or throw an exception
+       // Do not perform the implicit conversion
+   }

-   return amount;
+   return static_cast<unsigned int>(amount);
}
",,"unsigned int readdata() {
    int amount = 0;
    // ...
    amount = accessmainframe();
    // ...

+   if (amount < 0) {
+       // Handle the error condition appropriately
+       // For example, return an error code or throw an exception
+       // Do not perform the implicit conversion
+   }

-   return amount;
+   return static_cast<unsigned int>(amount);
}
",,,,
CWE-193,"int i;
unsigned int numWidgets;
Widget **WidgetList;

numWidgets = GetUntrustedSizeValue();
if ((numWidgets == 0) || (numWidgets > MAX_NUM_WIDGETS)) {
    ExitError(""Incorrect number of widgets requested!"");
}
+ // Allocate space for numWidgets + 1 pointers to Widgets
+ WidgetList = (Widget **)malloc((numWidgets + 1) * sizeof(Widget *));
printf(""WidgetList ptr=%p\n"", WidgetList);
for (i = 0; i < numWidgets; i++) {
    WidgetList[i] = InitializeWidget();
}
+ WidgetList[numWidgets] = NULL;
showWidgets(WidgetList);
",,"char firstname[20];
char lastname[20];
char fullname[40];

fullname[0] = '\0';

- strncat(fullname, firstname, 20);
- strncat(fullname, lastname, 20);
+ strncat(fullname, firstname, sizeof(fullname) - strlen(fullname) - 1);
+ strncat(fullname, lastname, sizeof(fullname) - strlen(fullname) - 1);
","-  for(i=0; i<=PATH_SIZE; i++) { 
+ for(i=0; i<PATH_SIZE; i++) {

 char c = getc();
  if (c == EOF) {
    filename[i] = '\0';
    break; // Exit the loop if EOF is encountered
  }

  filename[i] = c;
}
","int setFilename(char *filename) {
  char name[21]; // Increase size to accommodate null terminator
- sprintf(name, ""%16s.dat"", filename);
+ snprintf(name, sizeof(name), ""%16s.dat"", filename);
  int success = saveFormattedFilenameToDB(name);
  return success;
}
",,
CWE-290,"sd = socket(AF_INET, SOCK_DGRAM, 0);
serv.sin_family = AF_INET;
serv.sin_addr.s_addr = htonl(INADDR_ANY);
serv.sin_port = htons(1008);
bind(sd, (struct sockaddr *) & serv, sizeof(serv));

while (1) {
  memset(msg, 0x0, MAX_MSG);
  clilen = sizeof(cli);
- if (inet_ntoa(cli.sin_addr)==getTrustedAddress()) {
+ if (isAddressTrusted(cli.sin_addr)) {
    n = recvfrom(sd, msg, MAX_MSG, 0, (struct sockaddr *) & cli, &clilen);
  }
}
",,"struct hostent *hp;
struct in_addr myaddr;
char* tHost = ""trustme.example.com"";
myaddr.s_addr = inet_addr(ip_addr_string);

hp = gethostbyaddr((char *) &myaddr, sizeof(struct in_addr), AF_INET);
- if (hp && !strncmp(hp->h_name, tHost, sizeof(tHost))) {
+ if (hp && checkHostname(hp->h_name, tHost)) {
  trusted = true;
} else {
  trusted = false;
}",,,,
CWE-672,"char* ptr = (char*)malloc (SIZE);
if (err) {
  abrt = 1;
  free(ptr);
}
...
if (abrt) {
+ logError(""operation aborted before commit"", NULL);
- logError(""operation aborted before commit"", ptr);
}
","char* ptr = (char*)malloc(SIZE);
...
if (abrt) {
- free(ptr);
+ ptr = NULL;
}
...
if (ptr != NULL) {
+ free(ptr);
}
","int processMessage(char **message)
{
    int result = SUCCESS;
    int length = getMessageLength(message[0]);
    char *messageBody;

    if ((length > 0) && (length < MAX_MESSAGE_SIZE)) {
        messageBody = (char*)malloc(length * sizeof(char));
        messageBody = &message[1][0];

        int success = processMessageBody(messageBody);

        if (success == ERROR) {
            result = ERROR;
-           free(messageBody);
        }

        if (result == ERROR) {
            logError(""Error processing message"", messageBody);
        }

+       free(messageBody);
    }
    else {
        printf(""Unable to process message; invalid message length"");
        result = FAIL;
    }

    return result;
}
",,,,
CWE-502,"try {
    File file = new File(""object.obj"");
    ObjectInputStream in = new ObjectInputStream(new FileInputStream(file));
-   javax.swing.JButton button = (javax.swing.JButton) in.readObject();
+   // Mitigation: Prevent deserialization
+   in.readObject();
    in.close();
}
",,,,,,
CWE-434,"// Define the target location where the picture being
// uploaded is going to be saved.
- $target = ""pictures/"" . basename($_FILES['uploadedfile']['name']);
+ $target = ""pictures/"" . uniqid() . ""_"" . basename($_FILES['uploadedfile']['name']);

// Move the uploaded file to the new location.
- if(move_uploaded_file($_FILES['uploadedfile']['tmp_name'], $target))
+ $allowedExtensions = array('jpg', 'jpeg', 'png');
+ $fileExtension = strtolower(pathinfo($_FILES['uploadedfile']['name'], PATHINFO_EXTENSION));
+ if(in_array($fileExtension, $allowedExtensions) && move_uploaded_file($_FILES['uploadedfile']['tmp_name'], $target))
{
    echo ""The picture has been successfully uploaded."";
}
else
{
    echo ""There was an error uploading the picture, please try again."";
}",,,,,,
CWE-203,"my $username = param('username');
my $password = param('password');

if (IsValidUsername($username) == 1) {
    if (IsValidPassword($username, $password) == 1) {
        print ""Login Successful"";
    } else {
-       print ""Login Failed - incorrect password"";
+       print ""Login Failed - incorrect username or password"";
    }
} else {
-   print ""Login Failed - unknown username"";
+   print ""Login Failed - incorrect username or password"";
}
",,,,,,
